name,metric,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
Sepsis_log,Accuracy,62.45,63.73,55.23,59.34,58.48,49.22,62.68,59.63,55.91,59.28,55.25,54.29,55.77,54.74,50.1,48.28,48.26,43.25
Sepsis_log,Precision,62.35,62.99,54.89,58.72,58.75,49.28,62.27,59.66,56.35,60.44,57.83,53.23,64.08,62.83,64.37,70.51,69.97,58.77
Sepsis_log,Recall,62.45,63.73,55.23,59.34,58.48,49.22,62.68,59.63,55.91,59.28,55.25,54.29,55.77,54.74,50.1,48.28,48.26,43.25
Sepsis_log,F1,61.17,62.39,51.41,57.24,57.57,46.17,61.76,58.03,52.97,58.61,51.78,52.36,59.27,58.17,55.54,55.56,55.44,48.69
Sepsis_log,Time,3790,4561,411,121,136,245,1660,2257,278,237,234,463,2,5,0,0,0,0
L6,Accuracy,54.76,52.38,30.95,57.14,26.19,42.86,9.52,14.29,14.29,11.91,14.29,14.29,72.5,81.67,77.5,77.5,76.67,77.5
L6,Precision,45.73,43.5,31.16,47.48,15.73,34.27,2.21,2.1,5.52,2.38,2.04,7.7,71.25,76.67,67.64,75.83,75.0,67.64
L6,Recall,54.76,52.38,30.95,57.14,26.19,42.86,9.52,14.29,14.29,11.91,14.29,14.29,72.5,81.67,77.5,77.5,76.67,77.5
L6,F1,46.87,43.02,26.05,48.11,17.86,34.82,3.37,3.66,7.14,3.9,3.57,7.7,70.28,78.33,71.11,76.39,75.56,71.11
L6,Time,10,8,8,8,8,8,5,5,4,5,4,3,0,0,0,0,0,0
Pdc_2021_3,Accuracy,77.59,75.05,67.58,76.57,74.74,67.46,77.5,75.08,77.84,76.44,53.02,76.61,70.34,70.39,71.91,68.41,68.51,68.98
Pdc_2021_3,Precision,74.74,73.04,62.14,74.33,70.44,61.12,76.3,72.8,77.21,73.96,44.34,74.44,76.56,77.21,78.48,74.01,73.19,74.86
Pdc_2021_3,Recall,77.59,75.05,67.58,76.57,74.74,67.46,77.5,75.08,77.84,76.44,53.02,76.61,70.34,70.39,71.91,68.41,68.51,68.98
Pdc_2021_3,F1,73.89,71.07,62.33,72.78,70.18,61.73,74.4,71.96,74.9,72.59,45.53,72.89,70.94,71.09,72.4,68.69,68.73,68.86
Pdc_2021_3,Time,357,703,772,94,107,808,378,591,456,192,125,494,1,11,0,0,2,0
Pdc_2021_4,Accuracy,77.38,75.03,71.84,76.95,74.33,68.3,77.65,75.17,77.71,77.17,52.82,77.09,71.04,71.01,72.27,69.2,69.64,70.37
Pdc_2021_4,Precision,75.95,70.6,65.41,75.83,69.95,62.75,77.88,72.66,79.15,74.27,46.02,75.46,77.43,77.98,79.03,75.39,75.48,76.96
Pdc_2021_4,Recall,77.38,75.03,71.84,76.95,74.33,68.3,77.65,75.17,77.71,77.17,52.82,77.09,71.04,71.01,72.27,69.2,69.64,70.37
Pdc_2021_4,F1,73.31,70.39,66.61,72.78,69.45,62.69,74.49,71.36,74.33,72.69,46.24,72.69,71.59,71.63,72.46,69.58,69.78,70.17
Pdc_2021_4,Time,358,582,967,84,119,545,410,519,493,255,174,486,2,10,0,0,2,0
